Run,download_path,LibraryLayout
SRR941799,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941799/SRR941799.sra,PAIRED
SRR941800,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941800/SRR941800.sra,PAIRED
SRR941801,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941801/SRR941801.sra,PAIRED
SRR941802,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941802/SRR941802.sra,PAIRED
SRR941803,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941803/SRR941803.sra,PAIRED
SRR941804,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941804/SRR941804.sra,PAIRED
SRR941805,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941805/SRR941805.sra,PAIRED
SRR941806,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941806/SRR941806.sra,PAIRED
SRR941807,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR941/SRR941807/SRR941807.sra,PAIRED
SRR957667,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR957/SRR957667/SRR957667.sra,PAIRED
SRR957668,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR957/SRR957668/SRR957668.sra,PAIRED
SRR958469,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR958/SRR958469/SRR958469.sra,PAIRED
SRR958472,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR958/SRR958472/SRR958472.sra,PAIRED
SRR958473,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR958/SRR958473/SRR958473.sra,PAIRED
SRR958525,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR958/SRR958525/SRR958525.sra,PAIRED
